stop_name,stop_id,stop_lat,stop_lon
"Volketswil, Eichstrasse",8576131,47.394787,8.682253
"Volketswil, Chapf",8576132,47.39322,8.67937
"Kindhausen ZH, Bodenacher",8576133,47.405066999999995,8.680069999999999
"Effretikon, Moosburg",8576135,47.42098,8.691811999999999
"Volketswil, In der Höh",8576139,47.38525,8.668384
"Volketswil, In der Au",8576140,47.389559999999996,8.688757
"Kloten, Kirchgasse",8576152,47.452915000000004,8.584346
"Kloten, Rankstrasse",8576153,47.451187,8.592053
"Kloten, Oberfeld",8576154,47.449085,8.597739
"Kloten, Grubenstrasse",8576155,47.447685,8.603247
"Bassersdorf, Talgüetli",8576158,47.445103,8.620485
"Bassersdorf, Schmitte",8576159,47.442944,8.628758
"Bassersdorf, Löwen",8576160,47.443584,8.62813
"Bassersdorf, Gemeindehaus",8576161,47.443554,8.629064
"Bassersdorf, Rietli",8576163,47.444687,8.636188
"Zufikon, Bachhalde",8576164,47.35024600000001,8.355913000000001
"Nürensdorf, Chrüzstrass",8576167,47.454243,8.6346245
Birchwil (Nürensdorf),8576168,47.457718,8.638765
"Nürensdorf, Oberwil",8576169,47.4641,8.639952000000001
"Nürensdorf, Berg",8576170,47.450752,8.651216499999999
"Breite b. Nürensdorf, Sternen",8576171,47.460827,8.659912
"Breite b. N'dorf,Grünenwaldstr",8576172,47.461926,8.661286
"Breite b. N'dorf, W'thurerstr.",8576173,47.461597,8.661107000000001
"Brütten, Hofacher",8576174,47.47097,8.670592999999998
"Brütten, Harossen",8576176,47.471466,8.682496
"Zürich Tiefenbrunnen, Bahnhof",8576182,47.350418,8.560999
"Zollikon, Seestrasse",8576183,47.342796,8.567323
"Zollikon, Bahnhof",8576184,47.33776500000001,8.569775
"Zollikon, Gemeindehaus",8576185,47.34075,8.5759735
"Zollikon, Höhestrasse",8576186,47.33985,8.581525
"Zollikon, Allmend",8576187,47.343327,8.583267999999999
"Zollikon, Schützenstrasse",8576188,47.3449,8.585882000000002
"Zollikon, Rebwiesstrasse",8576189,47.345703,8.588486999999999
"Zürich, Bellevue",8576193,47.367092,8.545116
"Zürich, Elektrowatt",8576194,47.357796,8.550228
"Zürich, Opernhaus",8576195,47.365414,8.547649
"Zürich, Kreuzstrasse",8576196,47.36339,8.549472999999999
"Zürich, Feldeggstrasse",8576197,47.360516,8.55206
"Zürich, Höschgasse",8576198,47.357994,8.554207
"Zürich, Fröhlichstrasse",8576199,47.35517,8.556902000000001
"Zürich, Wildbachstrasse",8576200,47.35228,8.559579
"Zollikon, Bahnübergang",8576201,47.34592,8.5661545
"Zollikon, Felbenstrasse",8576202,47.343204,8.569632
"Zollikon, Dufourplatz",8576203,47.340435,8.572614
"Zollikon, Beugi",8576204,47.33648,8.575084
"Zollikon, Goldhaldenplatz",8576205,47.335037,8.577518
"Küsnacht ZH, Bühlstrasse",8576206,47.331753000000006,8.579657000000001
"Küsnacht ZH, Goldbacherstrasse",8576207,47.329227,8.580465
"Küsnacht ZH, Boglerenstrasse",8576208,47.326285999999996,8.582307
"Küsnacht ZH, Schiedhaldenstr.",8576209,47.322975,8.582576
"Küsnacht ZH, Schiedhaldensteig",8576210,47.321365,8.586825
"Küsnacht ZH, Schübel",8576211,47.32165,8.589852
